project1_file,project2_file,birthmark,comparator,matcher,class1,class2,similarity
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.InProcessMessagingInterface$1,0.5
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.WebBrowserObject$ObjectHTMLConfiguration,0.3333333333333333
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.WebBrowserObject$3$1,0.5714285714285714
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.WebBrowserObject$2,0.3333333333333333
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.NativeInterfaceAdapter,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.NSSystemPropertySWT$2,0.36363636363636365
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.EventDispatchUtils$1,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.utilities.core.NativeFileTypeLauncherStatic$CMN_getLauncherIDs$1,0.2857142857142857
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.components.core.NativeWebBrowser$CMN_setDefaultPopupMenuRegistered$1,0.5
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.components.core.NativeWebBrowser$CMJ_showWindow$1,0.26666666666666666
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.components.core.NativeWebBrowser$9,0.6666666666666666
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.components.core.NativeWebBrowser$8,0.5714285714285714
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.components.core.NativeWebBrowser$7,0.5714285714285714
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.components.core.NativeWebBrowser$2$1$1,0.5714285714285714
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.components.core.NativeWebBrowser$10,0.6666666666666666
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.components.core.NativeWebBrowser$1,0.3333333333333333
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.components.core.NativeFileDialog$Data,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.components.core.NativeFileDialog$1,0.5
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.components.core.NativeDirectoryDialog$Data,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.components.core.NativeDirectoryDialog$1,0.5
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.components.WebBrowserWindowFactory$1,0.5714285714285714
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.components.WebBrowserAdapter,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.components.JWebBrowser$1,0.36363636363636365
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.components.JHTMLEditorTinyMCE$6,0.3333333333333333
